acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,mbti
0.761,0.403,0.234,0.0618,4,0.123,-17.865,0.0531,144.226,4,0.13,2
0.0542,0.412,0.477,0.798,9,0.0975,-9.381,0.029,75.302,4,0.141,2
0.848,0.523,0.302,0,2,0.127,-8.868,0.035,130.47,4,0.172,2
0.453,0.571,0.544,0.00805,6,0.322,-10.613,0.0299,132.052,4,0.216,2
0.622,0.373,0.315,9.38e-06,1,0.0903,-8.908,0.0341,94.573,4,0.0647,2
0.833,0.677,0.455,0.00602,2,0.105,-7.086,0.0322,129.975,4,0.704,2
0.925,0.361,0.0203,0.00224,11,0.114,-25.064,0.0555,76.621,4,0.351,2
0.544,0.515,0.479,0.00598,3,0.191,-7.458,0.0261,88.964,4,0.284,2
0.763,0.409,0.399,0.654,7,0.112,-10.456,0.0275,142.823,4,0.161,2
0.907,0.402,0.151,0,4,0.0941,-14.228,0.04,144.071,4,0.489,2
0.0529,0.4,0.479,2.14e-06,8,0.115,-7.989,0.0308,166.159,4,0.213,2
0.529,0.637,0.53,0.0144,4,0.109,-7.53,0.0301,87.034,4,0.363,2
0.937,0.372,0.537,0.873,9,0.287,-7.623,0.0305,123.735,3,0.228,2
0.953,0.582,0.199,0.00852,10,0.135,-10.045,0.0321,66.454,4,0.0783,2
0.653,0.515,0.593,0.162,4,0.25,-4.801,0.0322,94.467,3,0.153,2
0.391,0.898,0.509,0,5,0.0876,-7.973,0.062,119.869,4,0.727,2
0.136,0.464,0.417,0.022,0,0.0974,-9.345,0.0256,67.528,4,0.479,2
0.981,0.44,0.04,0.465,3,0.111,-16.887,0.0322,135.965,4,0.249,2
0.904,0.766,0.265,0.0492,7,0.0899,-12.35,0.0315,136.063,4,0.369,2
0.765,0.393,0.305,0.00146,9,0.092,-11.372,0.0461,160.075,4,0.15,2
0.146,0.454,0.404,0.819,3,0.141,-10.26,0.027,94.113,4,0.313,2
0.342,0.52,0.731,0.00101,6,0.311,-5.338,0.0557,173.93,4,0.662,2
0.82,0.483,0.321,0.000107,10,0.128,-10.401,0.0719,141.28,3,0.148,2
0.35,0.532,0.546,0.00549,9,0.0963,-8.092,0.0267,146.633,4,0.155,2
0.807,0.503,0.264,0,10,0.24,-9.762,0.0632,45.861,4,0.44,2
0.804,0.48,0.373,0.067,10,0.12,-9.297,0.0278,114.078,4,0.0376,2
0.362,0.448,0.511,0.823,6,0.129,-9.084,0.0274,96.321,4,0.112,2
0.973,0.435,0.104,0.33,6,0.119,-22.39,0.0445,120.484,4,0.162,2
